Country,Energy_type,Year,Energy_consumption,Energy_production,CO2_emission
World,nuclear,2007,7960.667,7960.667,0.0
World,renewables_n_other,2007,11148.862,11475.629,0.0
World,all_energy_types,2008,146472.283,145163.722,30083.782
World,coal,2008,42410.813,42004.481,13500.577
World,natural_gas,2008,33079.621,32722.902,5811.118
World,petroleum_n_other_liquids,2008,51458.255,50275.947,10772.087
World,nuclear,2008,7921.8,7921.8,0.0
World,renewables_n_other,2008,11809.191,12238.59,0.0
World,all_energy_types,2009,145089.31,144496.016,30795.451
World,coal,2009,42741.164,42514.236,13748.983
World,natural_gas,2009,31988.389,32108.009,5978.147
World,petroleum_n_other_liquids,2009,50607.019,49455.278,11068.321
World,nuclear,2009,7807.881,7807.881,0.0
World,renewables_n_other,2009,12204.288,12610.612,0.0
World,all_energy_types,2010,154368.898,152024.687,30621.827
World,coal,2010,46241.759,45780.468,13867.179
World,natural_gas,2010,34999.556,34273.27,5782.117
World,petroleum_n_other_liquids,2010,52146.749,50234.799,10972.531
World,nuclear,2010,8024.233,8024.233,0.0
World,renewables_n_other,2010,13261.759,13711.917,0.0
World,all_energy_types,2011,158402.907,156554.44,32519.305
World,coal,2011,48737.446,48258.693,15001.882
World,natural_gas,2011,36045.408,35462.245,6324.817
World,petroleum_n_other_liquids,2011,52408.111,50832.233,11192.607
World,nuclear,2011,7692.37,7692.37,0.0
World,renewables_n_other,2011,13832.58,14308.899,0.0
World,all_energy_types,2012,161657.524,160113.99,33633.324
World,coal,2012,50232.518,49594.843,15810.993
World,natural_gas,2012,36868.982,36203.872,6513.895
World,petroleum_n_other_liquids,2012,53262.175,52230.872,11308.437
World,nuclear,2012,7172.627,7172.627,0.0
World,renewables_n_other,2012,14426.416,14911.775,0.0
World,all_energy_types,2013,164439.277,162412.815,34423.415
World,coal,2013,50795.507,50378.103,16293.987
World,natural_gas,2013,37411.756,36643.103,6662.057
World,petroleum_n_other_liquids,2013,53854.368,52157.987,11467.371
World,nuclear,2013,7224.739,7224.739,0.0
World,renewables_n_other,2013,15481.861,16008.884,0.0
World,all_energy_types,2014,165915.702,165095.487,34839.904
World,coal,2014,50513.704,50239.987,16472.732
World,natural_gas,2014,37555.492,37216.975,6759.12
World,petroleum_n_other_liquids,2014,54663.492,53531.763,11608.052
World,nuclear,2014,7367.286,7367.286,0.0
World,renewables_n_other,2014,16155.69,16739.477,0.0
World,all_energy_types,2015,166267.058,166627.379,34894.26
World,coal,2015,49105.65,49119.338,16382.288
World,natural_gas,2015,38114.25,37994.918,6783.648
World,petroleum_n_other_liquids,2015,55488.868,55048.982,11728.324
World,nuclear,2015,7454.976,7454.976,0.0
World,renewables_n_other,2015,16443.987,17009.164,0.0
World,all_energy_types,2016,167682.706,165461.541,34751.606
World,coal,2016,47848.297,46239.877,15926.204
World,natural_gas,2016,38890.163,38355.86,6883.268
World,petroleum_n_other_liquids,2016,56419.283,55331.188,11942.133
World,nuclear,2016,7535.474,7535.474,0.0
World,renewables_n_other,2016,17363.01,17999.143,0.0
World,all_energy_types,2017,171212.026,169466.337,34572.381
World,coal,2017,48132.524,47503.241,15514.189
World,natural_gas,2017,40165.534,40106.805,7023.602
World,petroleum_n_other_liquids,2017,57423.171,55313.17,12034.589
World,nuclear,2017,7590.009,7590.009,0.0
World,renewables_n_other,2017,18286.518,18953.111,0.0
World,all_energy_types,2018,175178.66,176055.569,35002.901
World,coal,2018,48617.292,49325.948,15608.518
World,natural_gas,2018,42170.387,42330.78,7253.924
World,petroleum_n_other_liquids,2018,57713.933,56577.425,12140.46
World,nuclear,2018,7770.236,7770.236,0.0
World,renewables_n_other,2018,19298.578,20051.179,0.0
World,all_energy_types,2019,176146.936,179214.933,35584.933
World,coal,2019,48055.208,50361.273,15773.074
World,natural_gas,2019,43058.84,43785.124,7607.937
World,petroleum_n_other_liquids,2019,57464.391,56308.875,12203.923
World,nuclear,2019,8106.284,8106.284,0.0
World,renewables_n_other,2019,19858.123,20653.378,0.0
